185.125.190.36 - - [29/Sep/2025:15:06:30 +0000] "GET /status HTTP/1.1" 200 38 "-" "curl/8.7.1"
185.125.190.36 - - [29/Sep/2025:15:06:45 +0000] "GET /status HTTP/1.1" 200 38 "-" "curl/8.7.1"
185.125.190.36 - - [29/Sep/2025:15:07:02 +0000] "GET / HTTP/1.1" 200 5524 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.0 Safari/605.1.15"
185.125.190.36 - - [29/Sep/2025:15:08:09 +0000] "GET / HTTP/1.1" 200 5524 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.0 Safari/605.1.15"
185.125.190.36 - - [29/Sep/2025:15:08:10 +0000] "GET / HTTP/1.1" 200 5524 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.0 Safari/605.1.15"
172.23.0.1 - - [29/Sep/2025:15:11:06 +0000] "\x16\x03\x03\x03\xF0\x01\x00\x03\xEC\x03\x03\x96\x07\x03\xE6`\xB4 \xBB8Q\xD9\xD4z\xCB\x93=\xBEp9\x9B\xF6\xC9-\xA3:\xF0\x1DO\xB7p\xE9\x8C\x00\x02\xFE\x00\x01\x00\x02\x00\x03\x00\x04\x00\x05\x00\x06\x00\x07\x00\x08\x00\x09\x00" 400 166 "-" "-"
172.23.0.1 - - [29/Sep/2025:15:11:06 +0000] "\x16\x03\x03\x03\xB6\x01\x00\x03\xB2\x03\x03\x96\x07\x04\x09`\xB4 \xBB8Q\xD9\xD4z\xCB\x93=\xBEp9\x9B\xF6\xC9-\xA3:\xF0\x1DO\xB7p\xE9\x8C\x00\x02\xC4\x00\x01\x00\x02\x00\x03\x00\x04\x00\x05\x00\x06\x00\x07\x00\x08\x00\x09\x00" 400 166 "-" "-"
172.23.0.1 - - [29/Sep/2025:15:11:06 +0000] "\x16\x03\x03\x03\x92\x01\x00\x03\x8E\x03\x03\x96\x07\x04\x13`\xB4 \xBB8Q\xD9\xD4z\xCB\x93=\xBEp9\x9B\xF6\xC9-\xA3:\xF0\x1DO\xB7p\xE9\x8C\x00\x02\xA0\x00\x01\x00\x02\x00\x03\x00\x04\x00\x05\x00\x06\x00\x07\x00\x08\x00\x09\x00" 400 166 "-" "-"
172.23.0.1 - - [29/Sep/2025:15:11:06 +0000] "\x16\x03\x03\x01\xDC\x01\x00\x01\xD8\x03\x03\x96\x07\x04\x1E`\xB4 \xBB8Q\xD9\xD4z\xCB\x93=\xBEp9\x9B\xF6\xC9-\xA3:\xF0\x1DO\xB7p\xE9\x8C\x00\x00\xEA\x00\x01\x00\x02\x00\x04\x00\x05\x00\x07\x00\x09\x00" 400 166 "-" "-"
172.23.0.1 - - [29/Sep/2025:15:11:06 +0000] "\x16\x03\x03\x01\xA2\x01\x00\x01\x9E\x03\x03\x96\x07\x04#`\xB4 \xBB8Q\xD9\xD4z\xCB\x93=\xBEp9\x9B\xF6\xC9-\xA3:\xF0\x1DO\xB7p\xE9\x8C\x00\x00\xB0\x00\x07\x00\x1D\x00/\x000\x001\x002\x003\x005\x006\x007\x008\x009\x00<\x00=\x00>\x00?\x00@\x00g\x00h\x00i\x00j\x00k\x00\x96\x00\x97\x00\x98\x00\x99\x00\x9A\x00\x9C\x00\x9D\x00\x9E\x00\x9F\x00\xA0\x00\xA1\x00\xA2\x00\xA3\x00\xA4\x00\xA5\x13\x01\x13\x02\x13\x03\x13\x04\x13\x05\xC0\x04\xC0\x05\xC0\x09\xC0" 400 166 "-" "-"
172.23.0.1 - - [29/Sep/2025:15:11:06 +0000] "\x16\x03\x03\x03\xF0\x01\x00\x03\xEC\x03\x03\x96\x07\x04)`\xB4 \xBB8Q\xD9\xD4z\xCB\x93=\xBEp9\x9B\xF6\xC9-\xA3:\xF0\x1DO\xB7p\xE9\x8C\x00\x02\xFE\x00\x01\x00\x02\x00\x03\x00\x04\x00\x05\x00\x06\x00\x07\x00\x08\x00\x09\x00" 400 166 "-" "-"
